"ARID","JDATE","TIME","STA","CHAN","BMTYP","SPROID","CFREQ","SEAZ","DELAZ","SLOW","DELSLO","SNR","STAV","FSTAT","DELTIM","BANDW","FKQUAL","COMMID","LDDATE"
164328775,2021273,1632991122.95,GERES,GE_042,coh,-1,2,10.107427,5.071079,0.28035074,0.024804912,4.5572581,0.1751115,9.1421129,1.6302495,1.3333333,3,-1,2021-09-30 08:48:07
164329792,2021273,1632993347.1,GERES,GE_047,coh,-1,2,339.34742,8.5032926,0.16671354,0.024719331,4.7543545,0.13251969,9.2055241,1.6011142,1.3333333,3,-1,2021-09-30 09:34:37
164329793,2021273,1632993371.325,GERES,GE_072,coh,-1,3,341.14065,4.9696568,0.25615135,0.022210803,4.0384173,0.12420287,5.0677,1.7134225,2,3,-1,2021-09-30 09:34:37
164335699,2021273,1633012114.825,GERES,GE_110,coh,-1,4.5,82.139466,3.7990109,0.16392775,0.010867279,6.2713633,0.18145457,9.4083886,1.4105486,3,3,-1,2021-09-30 14:36:16
164335700,2021273,1633012137.4,GERES,GE_097,coh,-1,3,81.092352,2.0179214,0.25033921,0.0088163342,12.326495,0.27731627,32.163504,0.94554009,2,1,-1,2021-09-30 14:36:16
164338061,2021273,1633020261.55,GERES,GE_007,coh,-1,1.5,300.41958,7.7068409,0.15168009,0.020387073,3.4208522,0.078390047,24.059669,1.72,1,1,-1,2021-09-30 16:58:13
164338831,2021273,1633023557.525,GERES,GE_002,coh,-1,1.5,333.81819,9.5809139,0.16046372,0.026801251,3.4850302,0.073017001,13.921605,1.72,1,3,-1,2021-09-30 17:46:11
164339725,2021273,1633026598.75,GERES,GE_069,coh,-1,3,162.92153,7.6824309,0.20838911,0.02792066,4.1073694,0.058700882,3.2069196,1.7017725,2,3,-1,2021-09-30 18:36:08
164350280,2021274,1633072081.825,GERES,GE_005,coh,-1,1.5,236.9083,12.760722,0.12747697,0.028332597,3.4709072,0.075251393,12.457379,1.72,1,3,-1,2021-10-01 07:16:29
164351875,2021274,1633077766.625,GERES,GE_083,coh,-1,3,35.398009,5.1970842,0.15099248,0.013691264,4.7100492,0.153532,13.336821,1.6075569,2,2,-1,2021-10-01 08:58:19
164351876,2021274,1633077793.15,GERES,GE_049,coh,-1,2,32.262169,4.1677704,0.22705368,0.016512542,6.245985,0.20981309,20.629755,1.4133389,1.3333333,2,-1,2021-10-01 08:58:19
164351877,2021274,1633077799.15,GERES,GE_049,coh,-1,2,32.101249,3.8823031,0.22806931,0.015450786,5.4921422,0.22985387,23.562469,1.5018464,1.3333333,2,-1,2021-10-01 08:58:19
164351878,2021274,1633078003.625,GERES,GE_082,coh,-1,3,353.75835,4.820194,0.14237226,0.011973998,6.7762361,0.195576,17.43657,1.3572681,2,2,-1,2021-10-01 08:58:19
164351879,2021274,1633078025.6,GERES,GE_094,coh,-1,3,351.90922,3.0349533,0.24726099,0.013095866,8.6203403,0.31676465,14.577096,1.1916334,2,2,-1,2021-10-01 08:58:19
164351880,2021274,1633078033.075,GERES,GE_056,coh,-1,2,8.0206898,4.4969997,0.26660785,0.02092,5.7061563,0.22710276,12.852825,1.4755411,1.3333333,2,-1,2021-10-01 08:58:19
164351881,2021274,1633078189,GERES,GE_040,coh,-1,2,62.447188,4.6256813,0.2179147,0.01758821,4.1405106,0.13739096,18.183549,1.6962425,1.3333333,2,-1,2021-10-01 08:58:19
164322068,2021273,1632965312.475,GERES,GE_006,coh,-1,1.5,288.62786,12.690444,0.11270414,0.024911848,3.5344906,0.075323462,16.113412,1.72,1,2,-1,2021-09-30 01:44:22
164325384,2021273,1632980011.85,GERES,GE_001,coh,-1,1.5,42.510447,24.877609,0.019534572,0.0084153664,12.20402,0.31518835,141.20607,0.95241151,1,1,-1,2021-09-30 05:48:23
164325385,2021273,1632980020.525,GERES,GE_004,coh,-1,1.5,33.023868,23.671647,0.028624446,0.011742208,7.1169372,0.21990559,72.527033,1.3235114,1,1,-1,2021-09-30 05:48:23
164328045,2021273,1632988885.325,GERES,GE_009,coh,-1,1.5,68.587031,6.5569172,0.19721285,0.022556685,4.1165786,0.14255568,19.653907,1.7002314,1,2,-1,2021-09-30 08:16:33
164328046,2021273,1632989152.775,GERES,GE_040,coh,-1,2,68.461654,4.94021,0.14720463,0.012688483,5.4003177,0.15618545,34.93836,1.5134487,1.3333333,1,-1,2021-09-30 08:16:33
