"STA","TIME","ARID","JDATE","STASSID","CHANID","CHAN","IPHASE","STYPE","DELTIM","AZIMUTH","DELAZ","SLOW","DELSLO","EMA","RECT","AMP","PER","LOGAT","CLIP","FM","SNR","QUAL","AUTH","COMMID","LDDATE"
GERES,1633078025.6,164351879,2021274,-1,-1,GE_094,Sx,-,1.1916334,351.90922,3.0349533,27.494186,1.4561948,-1,-1,1.1796905,0.33333333,-999,-,-,8.6203403,"2",,-1,2021-10-01 08:58:20
GERES,1633078033.075,164351880,2021274,10478362,-1,GE_056,Lg,-,1.4755411,8.0206898,4.4969997,29.64546,2.3261994,-1,-1,0.85738296,0.5,-999,-,-,5.7061563,"2",,-1,2021-10-01 08:58:20
GERES,1633078189,164351881,2021274,-1,-1,GE_040,N,-,1.6962425,62.447188,4.6256813,24.231025,1.9557211,-1,-1,0.96715493,0.5,-999,-,-,4.1405106,"2",,-1,2021-10-01 08:58:20
GERES,1633078665.85,164352035,2021274,-1,-1,GE_118,Pn,-,1.3352483,326.73937,3.4543249,16.667381,1.0047133,-1,-1,1.4147273,0.22222222,-999,-,-,6.9965787,"2",,-1,2021-10-01 09:06:15
GERES,1633078679.175,164352036,2021274,-1,-1,GE_113,Pn,-,1.2600021,189.18054,7.7274726,13.381366,1.8033751,-1,-1,0.91836289,0.22222222,-999,-,-,7.8050432,"3",,-1,2021-10-01 09:06:15
GERES,1633078797.25,164352037,2021274,10478370,-1,GE_086,Pg,-,1.4798011,118.68856,4.6446131,16.917078,1.370987,-1,-1,0.57133294,0.33333333,-999,-,-,5.6709404,"1",,-1,2021-10-01 09:06:15
GERES,1633078813.425,164352038,2021274,10478370,-1,GE_098,Lg,-,1.3458821,116.45092,3.1666616,29.956136,1.6554251,-1,-1,0.95819505,0.33333333,-999,-,-,6.8892899,"3",,-1,2021-10-01 09:06:15
GERES,1633093282.325,164356016,2021274,10478545,-1,GE_026,tx,-,1.6973141,46.397181,25.997177,3.8695834,1.740748,-1,-1,0.31290222,0.5,-999,-,-,4.1340675,"1",,-1,2021-10-01 13:16:13
GERES,1633098165.925,164357594,2021274,10478633,-1,GE_040,Pn,-,1.4168689,61.363524,5.7955958,14.67076,1.4833475,-1,-1,0.77067014,0.5,-999,-,-,6.2140255,"1",,-1,2021-10-01 14:38:27
GERES,1633098214.2,164357595,2021274,10478633,-1,GE_096,Lg,-,1.4474582,62.417971,2.7209914,30.25921,1.4368827,-1,-1,0.77168019,0.33333333,-999,-,-,5.9438443,"1",,-1,2021-10-01 14:38:27
GERES,1633098219.25,164357596,2021274,10478633,-1,GE_043,Sx,-,1.6910589,65.415131,3.2030592,22.450627,1.2549148,-1,-1,1.8464228,0.5,-999,-,-,4.1718183,"1",,-1,2021-10-01 14:38:27
GERES,1633098270.1,164357597,2021274,10478634,-1,GE_001,P,-,0.685,352.64762,6.7571307,4.1707437,0.49158823,-1,-1,4.7431922,0.66666667,-999,-,-,29.237076,"1",,-1,2021-10-01 14:38:27
GERES,1633098283.85,164357598,2021274,10478634,-1,GE_031,tx,-,0.79300924,353.29016,4.4490356,4.5680413,0.35462077,-1,-1,6.24976,0.5,-999,-,-,15.385279,"1",,-1,2021-10-01 14:38:27
GERES,1633098290.125,164357599,2021274,10478634,-1,GE_004,tx,-,1.3484348,350.53768,11.778995,4.058234,0.83283243,-1,-1,6.4521021,0.66666667,-999,-,-,6.863781,"1",,-1,2021-10-01 14:38:27
GERES,1633098542.925,164357600,2021274,-1,-1,GE_118,N,-,1.5553148,20.869348,6.2532022,22.84839,2.4924123,-1,-1,0.31133345,0.22222222,-999,-,-,5.0815554,"4",,-1,2021-10-01 14:38:27
GERES,1633098645.95,164357601,2021274,10478635,-1,GE_089,Pg,-,1.1281433,195.90223,3.1035298,17.773086,0.96259375,-1,-1,0.93526774,0.33333333,-999,-,-,9.4535398,"1",,-1,2021-10-01 14:38:27
GERES,1633098654.25,164357602,2021274,10478635,-1,GE_015,Rg,-,0.685,200.50143,2.8700464,32.765022,1.6410861,-1,-1,26.223946,0.66666667,-999,-,-,48.106853,"1",,-1,2021-10-01 14:38:27
GERES,1633119392.5,164362682,2021274,10478882,-1,GE_112,Pn,-,0.8255214,155.54873,3.2574308,13.708979,0.77929016,-1,-1,0.82988376,0.22222222,-999,-,-,14.675273,"1",,-1,2021-10-01 20:28:24
GERES,1633119402,164362683,2021274,10478882,-1,GE_087,Pg,-,1.5302124,153.21262,4.0172026,13.577661,0.95178116,-1,-1,0.54812808,0.33333333,-999,-,-,5.270349,"1",,-1,2021-10-01 20:28:24
GERES,1633119406.95,164362684,2021274,10478882,-1,GE_087,Px,-,1.6674874,148.18064,4.4318409,16.161643,1.2497949,-1,-1,0.42499097,0.33333333,-999,-,-,4.3171973,"2",,-1,2021-10-01 20:28:24
GERES,1633119434.475,164362685,2021274,10478882,-1,GE_099,Lg,-,1.5474885,145.86853,3.1576162,24.018845,1.3235303,-1,-1,0.50863271,0.33333333,-999,-,-,5.139679,"3",,-1,2021-10-01 20:28:24
GERES,1633119450.375,164362686,2021274,10478882,-1,GE_019,Rg,-,1.4668247,141.92722,2.1820737,30.509716,1.1618731,-1,-1,2.2390088,0.66666667,-999,-,-,5.7788949,"1",,-1,2021-10-01 20:28:24
GERES,1632969748.6,164322958,2021273,-1,-1,GE_028,P,-,1.3211524,45,27.45847,3.962785,1.881006,-1,-1,0.32163662,0.5,-999,-,-,7.141377,"2",,-1,2021-09-30 02:56:10
GERES,1632985441,164327062,2021273,-1,-1,GE_092,N,-,1.4567254,285.6494,5.1421602,16.318019,1.464012,-1,-1,0.68654207,0.33333333,-999,-,-,5.8643336,"2",,-1,2021-09-30 07:24:11
GERES,1632985460.55,164327063,2021273,-1,-1,GE_104,Sx,-,1.0355543,302.55,4.3973493,29.76025,2.2834857,-1,-1,1.1559615,0.33333333,-999,-,-,10.815075,"3",,-1,2021-09-30 07:24:11
GERES,1632988885.325,164328045,2021273,-1,-1,GE_009,N,-,1.7002314,68.587031,6.5569172,21.929083,2.5081905,-1,-1,1.3199657,0.66666667,-999,-,-,4.1165786,"2",,-1,2021-09-30 08:16:33
GERES,1632989152.775,164328046,2021273,-1,-1,GE_040,N,-,1.5134487,68.461654,4.94021,16.368419,1.4108959,-1,-1,0.89174405,0.5,-999,-,-,5.4003177,"1",,-1,2021-09-30 08:16:33
GERES,1632989196.55,164328047,2021273,-1,-1,GE_050,Sx,-,0.72133315,72.779621,2.9593175,23.888024,1.2336754,-1,-1,4.4951603,0.5,-999,-,-,17.074257,"1",,-1,2021-09-30 08:16:33
GERES,1632989202.675,164328048,2021273,-1,-1,GE_020,Sx,-,1.4425559,68.498566,3.255758,33.128714,1.8822427,-1,-1,2.053435,0.66666667,-999,-,-,5.98634,"1",,-1,2021-09-30 08:16:33
GERES,1632989207.825,164328049,2021273,-1,-1,GE_009,Sx,-,1.6464483,80.122164,3.9027021,27.223788,1.8539899,-1,-1,2.0340259,0.66666667,-999,-,-,4.4512315,"1",,-1,2021-09-30 08:16:33
GERES,1632989383,164328050,2021273,-1,-1,GE_095,Sx,-,1.5254197,41.329231,2.6961148,27.099339,1.275071,-1,-1,0.89476392,0.33333333,-999,-,-,5.3071837,"1",,-1,2021-09-30 08:16:33
GERES,1633004428.625,164333151,2021273,-1,-1,GE_104,Sx,-,1.5463621,300.78415,5.3433488,29.199779,2.7221563,-1,-1,0.71611381,0.33333333,-999,-,-,5.1480994,"3",,-1,2021-09-30 12:34:11
